sim,haloid,M_star,M_halo,M_r,SFR,sSFR,quenched
h229,73,2715946.0569542055,553665566.2977123,-10.542325844709449,0.0,0.0,True
h229,104,14736.229687140378,387137815.3994722,-4.830153091168356,0.0,0.0,True
h229,113,2292203.3373312177,350178742.1535405,-10.331789681307754,0.0,0.0,True
h229,139,4912.074115783046,288509646.3131385,-3.6373499543692,0.0,0.0,True
h229,212,590196.127817116,169197959.17174217,-8.854944416230712,0.0,0.0,True
h229,290,34395.74135128242,129568677.65230857,-5.753824832937822,0.0,0.0,True
h229,549,1406745.6293046172,59168424.600138284,-9.862706467205063,0.0,0.0,True
h229,1047,570514.103286241,31194814.115832224,-8.821618499212127,0.0,0.0,True
h229,1374,14736.370006678728,27168309.57642453,-4.853952735796201,0.0,0.0,True
h229,1483,236015.13117959883,23014652.262088176,-7.876870975305025,0.0,0.0,True
h229,1558,14736.23141415008,23608031.878421944,-4.830153091168356,0.0,0.0,True
h229,6045,19670.953535175388,4958958.222217894,-5.15155456668359,0.0,0.0,True
h242,1,89742145844.88231,1033866009924.2314,-21.82947205823128,2.7623415934464544,3.078087299384519e-11,False
h242,10,800638145.5189657,10163745142.631195,-17.18775280888225,0.03416967035519587,4.267804444047246e-11,False
h242,12,795520231.0587308,7943615308.118422,-16.91136099704781,0.009423417084632698,1.1845603313056404e-11,False
h242,24,13659871.56946092,4126107546.4351454,-12.26746714453692,0.0,0.0,True
h242,30,28801677.723931402,2995846530.094251,-12.698880665693222,0.0,0.0,True
h242,34,3872856.969036771,2866150699.667014,-10.405905337289457,0.0,0.0,True
h242,40,1077035.0122244228,2234370945.304793,-9.497118851895651,0.0,0.0,True
h242,41,1833825.5991626265,2188977404.6552596,-10.506548737539276,0.0,0.0,True
h242,44,1319582.815360986,1866814657.2443347,-9.13038135390253,0.0,0.0,True
h242,48,103198.91590953508,1786326950.7144904,-6.964390444514689,0.0,0.0,True
h242,49,4912.083182583986,1786326950.7144904,-3.6373499543692,0.0,0.0,True
h242,71,457402.0117949614,1200873190.6846118,-8.582148238514534,0.0,0.0,True
h242,78,619628.1315573569,1071346897.2906128,-8.949384372989629,0.0,0.0,True
h242,80,23521540.6678973,842768592.2271847,-13.055148669822005,0.0,0.0,True
h242,86,314682.4476283621,983526877.1029316,-8.181801268893395,0.0,0.0,True
h242,165,78659.55958468327,451349966.7384475,-6.625091349777082,0.0,0.0,True
h242,223,363890.8923834337,321357446.50304335,-8.359583142349408,0.0,0.0,True
h242,439,7654546.34665055,81123470.4044876,-11.62118861685536,0.0,0.0,True
h242,480,978754.8522312108,125160714.78811489,-9.396273480531928,0.0,0.0,True
h242,1872,39314.663492289415,28778911.39218761,-5.974894585068037,0.0,0.0,True
h242,2885,4912.050801152059,18309999.58972761,-3.6373499543692,0.0,0.0,True
h242,6054,167073.68143073094,6188101.713194979,-7.465983187235131,0.0,0.0,True
h242,9380,4912.06979825879,4407962.8641936835,-3.6373499543692,0.0,0.0,True
h242,10426,4918.649705226382,3814583.247859919,-3.6488559720788265,0.0,0.0,True
h242,12297,9830.19103851612,3009282.33997838,-4.436612365333219,0.0,0.0,True
h329,1,89935480000.08356,700568982571.2258,-22.203954298261937,5.797323270122433,6.446091431454024e-11,False
h329,11,27474018.441916022,4854099730.189772,-13.57891374337134,0.00113304199840331,4.124049056743271e-11,False
h329,31,109637.24693921806,1567708946.3538074,-7.760324604884698,0.0,0.0,True
h329,33,1491120.936900578,1526214757.4687533,-10.063408688372409,0.0,0.0,True
h329,40,260574.33904923164,1121614627.6457446,-8.004397585579138,0.0,0.0,True
h329,64,9824.141323527281,742105978.7419924,-4.389924943529153,0.0,0.0,True
h329,103,132721.9935064519,377982815.6046084,-7.227580810925296,0.0,0.0,True
h329,133,1096737.7470556535,264477771.8516211,-9.5897514232222,0.0,0.0,True
